,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
0,0.46148527,-1.9598687,0.29903466,0.25133982,-1.6038184,0.16079742,1.3691185,0.88751405,0.80738693,-1.6791008,-0.66636086,-1.4332086,0.14696859,-1.0475667,-6.342826,0.8633951,0.31876218,-1.182929,1.1403749,0.091068566,0.010022324,-2.3287838,0.14472103,0.097401574,-2.9685726,0.41064382,-2.807674,-10.413933,0.5507716,-4.267161,2.1638696,-0.48878026,3.117669,-1.1463162,0.18911323,1.8513564,-3.4545333,1.4717276,-3.034211,-0.09257586,0.13400921,1.3982087,0.26241767,-3.1406424,6.32955,-1.847528,-1.0831673,-0.3812759,-1.9107769,-0.6589738,3.6402647,1.5602651,1.3766979,-0.7472213,-0.87909806,-0.61968005,-0.3942421,-0.09153718,-2.13368,-4.0263076,-0.9378424,-0.36914152,2.2709057,-1.8331227,1.8489337,-0.0839705,-0.7604325,0.29848912,-1.8230306,0.83679235,-1.3085806,1.2729583,0.50551844,-1.219578,1.3816845,0.07594299,1.1372072,-0.28707764,-0.68148416,-1.3196524,-0.19171798,0.30744904,0.18104997,-1.5141581
1,0.06660812,-1.0706903,0.52562624,0.54572016,-0.8437289,-1.1624211,-0.059550963,1.0375882,-0.91436464,-0.43458197,-1.1479833,-1.101514,-0.4135222,-0.17054293,-2.1459312,0.7164795,-0.50145864,0.15075636,0.057138063,-0.70363575,0.010154026,-3.7512329,-0.91213125,-0.07350615,-1.2209097,0.47552645,-0.4013394,-9.19132,2.806248,-0.857155,1.6152192,0.10367074,0.43484458,-0.9668955,-0.18518463,1.3628134,-2.3699665,1.803292,-0.919638,-2.578347,-1.5043458,1.4519352,0.5313677,-1.6298193,2.5986066,-0.09392897,-0.37078094,0.3128128,-0.3997866,-3.0114448,9.069992,-0.5863722,1.1355836,-1.512443,-0.86056286,1.4434781,1.2069539,0.8781156,-4.116365,0.4226508,-0.2860595,-0.26971182,1.9972862,-1.2288853,0.76872116,-0.4479388,-2.2825634,-0.28669253,-1.9831952,-0.0801756,-2.2778995,1.6355346,-0.14439073,-0.43215132,0.7334078,0.043724492,1.428575,-0.48486888,-0.86623234,-1.2477174,-1.2191972,0.33232227,1.7744669,-2.1525187
2,-0.77899104,-1.2461524,-0.7344237,1.2537518,1.2515948,0.5596785,-0.71135443,0.5427007,0.120220065,-2.099944,-0.1991609,-0.8152233,9.590707,0.5796288,-1.6064775,4.0383854,-3.4394937,2.7930455,2.6956038,-0.8483448,-2.5238032,-0.5310894,-0.9164209,2.8043785,-3.7114456,-2.8719947,-2.3243246,-9.598047,3.2986727,-3.278675,1.5700557,1.2690852,0.96628016,-2.2719011,-2.2131677,2.109673,-0.070639595,0.8338847,-1.761472,-1.5413867,0.342457,2.0956573,0.9671942,-2.7167726,2.5799463,1.0231335,-1.9774287,-0.6461533,-0.7497032,-0.32267436,0.6186691,-0.36681294,2.8810623,10.232724,-3.87394,-0.019067861,-2.9846015,0.72838706,-2.2531416,-1.8034139,1.1837442,-1.4159541,4.2014456,-2.9919353,2.381976,1.0203384,-0.04529127,0.11075388,-2.3744078,4.0995603,-2.3622692,-0.06972836,-0.08822779,-1.2783918,-0.6243991,0.8227873,0.62559813,-1.3796762,-0.6465825,-1.1906596,-0.9291876,0.3368724,0.8629724,-0.64595395
3,-1.6634122,-0.6425912,-2.053088,1.2967825,-1.8722898,1.0100074,-1.1620525,0.99088,0.19393776,-1.9460782,-1.4134883,-1.4481429,0.016368274,-0.0484057,-4.5793076,0.78455704,-0.7421033,0.917314,1.8401428,-0.033767693,-1.7176605,-2.880479,-0.20636253,0.11216062,-1.1995658,-0.031440496,-0.27113807,-9.476685,0.21290298,-5.3912764,1.2282635,0.012851931,3.91866,-0.67783606,-0.5129866,4.2360363,-2.6728137,3.425163,-2.2551615,-1.4406538,0.9422365,1.5619171,-0.32202676,-8.25752,2.9048874,0.4837404,1.104632,1.3739091,-1.9048917,-1.2725992,2.339151,2.2053854,1.4495093,-0.5415192,-0.0669065,-3.4708471,-2.2484381,0.18930261,-1.9983376,-4.453889,-1.3900706,-1.8144349,3.5693648,-1.2460822,4.3846908,0.83083934,1.7720785,-0.99448186,-2.838524,0.6850788,-2.0837128,9.414386,3.0187871,-4.924616,0.9375071,0.7640279,3.8057613,-1.2640827,-0.012556777,-4.1246305,-0.4520862,1.0028023,2.922254,-0.43200076
4,0.16154492,-1.7474377,-0.48138046,1.951581,-1.1853211,-0.41778666,0.28589022,1.0472317,0.5041645,-1.3977695,-1.1158164,-2.312224,-1.264313,0.4711479,-5.4184213,1.4918015,-1.2051861,2.2817087,1.7304759,-0.01149239,-1.1642091,-1.1315138,-3.729528,1.206032,-4.6181674,1.5407803,-2.0823317,-7.9478292,2.8131976,-3.1339128,3.3254633,-1.1007586,0.5676789,-0.53359824,-0.43387794,5.7423315,-1.505002,2.5221863,-1.9936912,-2.9816995,0.3654938,0.8803584,0.48015946,-3.3411472,9.459282,-0.88502806,0.29254833,0.68001086,0.061433922,-2.3822093,1.0016148,1.5414293,2.961021,-0.65317184,0.53410316,-1.7111235,-0.42361075,-0.45053613,-1.5153241,-3.291055,-0.39063787,-0.4254588,2.0833397,-0.43876725,5.0402956,-0.15749192,0.034352366,-1.1592963,-2.6491482,-1.1451173,-0.65815824,0.4644174,0.27465993,-0.8731161,0.28944978,-0.14115359,1.6625028,0.29912263,-2.1136298,-0.41263005,-2.1446502,1.018956,-0.0054221964,-1.7721608
5,0.7619321,-0.6791914,-3.3212206,1.3635808,-2.3984804,3.8069668,-0.40612617,1.6595645,0.32095677,-2.2285156,0.07592011,-2.454743,-0.9112218,-1.4694178,-5.7059784,2.4801574,0.9620469,-0.5657752,9.468379,-1.4055802,0.89247614,-3.136234,-2.1314206,2.0869527,-4.2541943,0.8999274,-5.8181677,-9.78854,0.8811014,-4.929427,2.2268834,-0.004734371,1.9289315,-0.9429035,-0.8193943,3.2662313,-0.6787248,2.3137603,-2.0111735,-4.488584,2.3722248,1.4591827,0.9553538,-3.5279021,2.1118207,0.7174056,0.9143831,0.56030107,0.7569495,-0.8028614,1.279663,0.22214967,1.8125439,-0.5387781,0.60568804,-1.2923023,-1.8696923,1.0361395,-2.5999553,-2.6437778,-1.4925146,-1.4134673,2.1613061,-0.6552649,2.5374982,0.16504681,1.6164643,0.37316003,-2.0562377,-1.1879188,-0.5330181,1.5499907,4.06309,0.014878474,1.8786681,0.32146513,-1.1765609,-1.0427362,-2.8359869,-2.1085842,-0.20278794,-0.22777545,1.5322673,-2.7999034
6,0.12095656,-0.98279506,-0.4998745,0.97610694,-0.056786735,-0.58920294,0.2529405,0.79832906,0.43731388,-0.68072647,-0.53570724,-1.5698252,-0.8760847,-0.2980632,-3.9980857,1.2058413,-0.6106425,-0.31858042,2.0054924,-0.7604709,-0.68388015,-2.4226615,-1.3566661,0.7922768,-1.8238754,-0.8867964,-1.0433067,-9.497489,1.4570875,-2.460034,2.522471,-0.87243253,2.0484672,-0.41653085,-0.15806836,2.0059881,-1.3548012,0.18568492,-1.9353783,-1.973147,0.43691152,2.2806525,0.30595616,-1.8026953,3.1711338,1.1817586,-0.1842826,0.3055556,-0.36407405,-1.7655962,1.9827496,1.0923169,1.0130605,0.83674634,0.6680978,-1.7599835,0.19210786,0.5882966,-2.2594702,-3.1159515,0.28971592,-0.7649655,4.5064726,-0.11823341,1.036277,0.115929164,-0.37797883,0.37075427,-0.9510246,-0.23627952,-2.976236,-0.27028653,1.1864929,-1.0804286,0.78750885,-0.7264866,1.668541,0.09898357,-0.7064294,-0.08286204,-1.0375035,0.04194291,1.0668263,-1.3639903
7,-2.2254112,-1.2618414,-1.8560092,1.3596474,-2.4119232,-0.14917305,-0.8730936,2.5726755,0.26278567,0.8515792,-1.9810212,-4.0706444,-1.235574,0.07223589,-1.2488221,-0.7553081,-4.079099,0.942757,2.5080123,-0.31797317,-1.8531016,-0.056987204,-2.444732,1.3779346,0.7229798,1.0849444,0.90986335,-4.569271,-0.64605814,-7.948124,0.28300038,-2.506115,2.2162318,0.5172611,-1.4994661,6.066279,-1.3641483,4.7746696,-1.6782717,-2.791661,1.5120708,2.0542269,-0.3434088,-4.8222136,5.1751113,0.6408984,1.3200145,0.4907292,-1.3193341,-1.2990135,1.6568316,0.8469384,1.007151,-0.42105418,-2.2127957,-0.084822334,-3.002815,-0.35162592,-1.9764661,-3.0534923,-2.2145052,-0.13145003,4.0079637,-2.154961,3.763107,0.3403083,1.4393231,-1.5858966,-1.9621302,-1.1601654,-0.33434957,1.8625394,0.14308792,-1.4903508,1.4378166,-0.94529676,2.07329,-0.34685773,-0.98769474,-2.3111088,-0.67408967,-0.22232208,1.3064666,-2.603196
8,-0.12511942,-2.7089353,-0.56732106,5.5025544,-1.2355673,1.723971,-1.3051727,3.789926,1.4907709,-2.5082936,0.15182598,4.338765,-2.457448,-3.2577598,-9.348487,2.0851402,-0.7350076,0.78404653,2.40357,0.5922793,-2.2227192,-0.70727086,1.1694169,-1.6445243,-2.8604856,0.48748493,-6.6262,-10.133563,1.8157833,-6.0634627,1.8527026,2.3118734,2.5706868,-0.19540215,-0.77524686,3.9966326,-2.6187713,2.0275297,-4.6341095,-3.0148306,2.3518577,2.7840424,2.4301794,-2.5790606,9.777686,-2.6777527,-0.2334248,-0.34072262,-1.6526539,0.38644508,1.4077582,0.16433273,0.6787727,-2.1196654,-2.0241716,0.168034,-4.29239,0.1657011,-2.650399,-2.921016,-3.867286,-4.633468,5.000109,-3.2366748,2.376417,1.210781,0.6082901,0.16420494,-2.8600287,-0.108512044,-2.7438264,1.4672844,0.69999313,-2.7723284,1.3528268,-1.2727664,2.294666,2.9790447,-2.245838,-2.1088858,-2.0396674,-3.5608149,0.6002432,-1.7583778
9,-1.6793357,1.7158409,-1.7841712,0.29154906,0.087753095,-0.89408535,1.1075062,-0.3522836,0.6892612,0.18233249,-0.85431325,0.09992003,-2.2970455,-5.7812853,-9.729814,-10.034831,-10.043713,6.628525,-1.5913777,-0.8016449,-1.13728,-1.4902582,0.5982295,-1.6274445,7.4805226,-4.894454,-0.21726346,0.7240931,-3.752193,-4.9276643,-9.327737,-0.10077161,-0.7309608,-0.23360452,0.22502944,2.1082277,7.4808235,0.47709778,4.7173247,0.44820482,4.509634,4.7595806,7.0189238,-6.0994153,3.6412861,2.9070675,0.7583007,4.644788,0.1108856,4.639018,-0.031357132,-1.3228041,-2.5851648,3.6262574,6.0067196,0.0678438,0.2007843,-3.4263763,4.711334,-9.589628,3.0352883,-1.4255729,-1.5977015,-3.22467,-1.5104461,7.2661753,8.173199,0.048023045,-0.108540334,3.2216299,4.665262,4.079856,4.42099,1.4400289,-8.44694,-10.036526,-10.460846,-10.036631,-1.7046461,-6.292324,-6.9205894,7.338423,7.0640006,-1.2014172
